id,name,type_1,type_2,img_url,hp,attack,defense,speed
234,stantler,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/234.png,73,95,62,85
235,smeargle,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/235.png,55,20,35,75
236,tyrogue,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/236.png,35,35,35,35
237,hitmontop,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/237.png,50,95,95,70
238,smoochum,ice,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/238.png,45,30,15,65
239,elekid,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/239.png,45,63,37,95
240,magby,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/240.png,45,75,37,83
241,miltank,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/241.png,95,80,105,100
242,blissey,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png,255,10,10,55
243,raikou,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/243.png,90,85,75,115
244,entei,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/244.png,115,115,85,100
245,suicune,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/245.png,100,75,115,85
246,larvitar,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/246.png,50,64,50,41
247,pupitar,rock,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/247.png,70,84,70,51
248,tyranitar,rock,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/248.png,100,134,110,61
249,lugia,psychic,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/249.png,106,90,130,110
250,ho-oh,fire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,106,130,90,90
251,celebi,psychic,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,100,100,100,100
252,treecko,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,40,45,35,70
253,grovyle,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,50,65,45,95
254,sceptile,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,70,85,65,120
255,torchic,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,45,60,40,45
256,combusken,fire,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,60,85,60,55
257,blaziken,fire,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,80,120,70,80
258,mudkip,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,50,70,50,40
259,marshtomp,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,70,85,70,50
260,swampert,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,100,110,90,60
261,poochyena,dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,35,55,35,35
262,mightyena,dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,70,90,70,70
263,zigzagoon,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,38,30,41,60
264,linoone,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,78,70,61,100
265,wurmple,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,45,45,35,20
266,silcoon,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,50,35,55,15
267,beautifly,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,60,70,50,65
268,cascoon,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,50,35,55,15
269,dustox,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,60,50,70,65
270,lotad,water,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,40,30,30,30
271,lombre,water,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,60,50,50,50
272,ludicolo,water,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,80,70,70,70
273,seedot,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,40,40,50,30
274,nuzleaf,grass,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,70,70,40,60
275,shiftry,grass,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,90,100,60,80
276,taillow,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,40,55,30,85
277,swellow,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,60,85,60,125
278,wingull,water,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,40,30,30,85
279,pelipper,water,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,60,50,100,65
280,ralts,psychic,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,28,25,25,40
281,kirlia,psychic,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,38,35,35,50
282,gardevoir,psychic,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,68,65,65,80
283,surskit,bug,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,40,30,32,65
284,masquerain,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,70,60,62,80
285,shroomish,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,60,40,60,35
286,breloom,grass,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,60,130,80,70
287,slakoth,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,60,60,60,30
288,vigoroth,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,80,80,80,90
289,slaking,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,150,160,100,100
290,nincada,bug,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,31,45,90,40
291,ninjask,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,61,90,45,160
292,shedinja,bug,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,1,90,45,40
293,whismur,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,64,51,23,28
294,loudred,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,84,71,43,48
295,exploud,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,104,91,63,68
296,makuhita,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,72,60,30,25
297,hariyama,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,144,120,60,50
298,azurill,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,50,20,40,20
299,nosepass,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,30,45,135,30
300,skitty,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,50,45,45,50
301,delcatty,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,70,65,65,90
302,sableye,dark,ghost,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,50,75,75,50
303,mawile,steel,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,50,85,85,50
304,aron,steel,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,50,70,100,30
305,lairon,steel,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,60,90,140,40
306,aggron,steel,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,70,110,180,50
307,meditite,fighting,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,30,40,55,60
308,medicham,fighting,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,60,60,75,80
309,electrike,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,40,45,40,65
310,manectric,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,70,75,60,105
311,plusle,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,60,50,40,95
312,minun,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,60,40,50,95
313,volbeat,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,65,73,75,85
314,illumise,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,65,47,75,85
315,roselia,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,50,60,45,65
316,gulpin,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,70,43,53,40
317,swalot,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,100,73,83,55
318,carvanha,water,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,45,90,20,65
319,sharpedo,water,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,70,120,40,95
320,wailmer,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,130,70,35,60
321,wailord,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,170,90,45,60
322,numel,fire,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,60,60,40,35
323,camerupt,fire,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,70,100,70,40
324,torkoal,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,70,85,140,20
325,spoink,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,60,25,35,60
326,grumpig,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,80,45,65,80
327,spinda,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,60,60,60,60
328,trapinch,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,45,100,45,10
329,vibrava,ground,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,50,70,50,70
330,flygon,ground,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,80,100,80,100
331,cacnea,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,50,85,40,35
332,cacturne,grass,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,70,115,60,55
333,swablu,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,45,40,60,50
334,altaria,dragon,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,75,70,90,80
335,zangoose,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,73,115,60,90
336,seviper,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,73,100,60,65
337,lunatone,rock,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,90,55,65,70
338,solrock,rock,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,90,95,85,70
339,barboach,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,50,48,43,60
340,whiscash,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,110,78,73,60
341,corphish,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,43,80,65,35
342,crawdaunt,water,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,63,120,85,55
343,baltoy,ground,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,40,40,55,55
344,claydol,ground,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,60,70,105,75
345,lileep,rock,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,66,41,77,23
346,cradily,rock,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,86,81,97,43
347,anorith,rock,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,45,95,50,75
348,armaldo,rock,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,75,125,100,45
349,feebas,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,20,15,20,80
350,milotic,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,95,60,79,81
351,castform,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,70,70,70,70
352,kecleon,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,60,90,70,40
353,shuppet,ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,44,75,35,45
354,banette,ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,64,115,65,65
355,duskull,ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,20,40,90,25
356,dusclops,ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,40,70,130,25
357,tropius,grass,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,99,68,83,51
358,chimecho,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,75,50,80,65
359,absol,dark,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,65,130,60,75
360,wynaut,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,95,23,48,23
361,snorunt,ice,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,50,50,50,50
362,glalie,ice,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,80,80,80,80
363,spheal,ice,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,70,40,50,25
364,sealeo,ice,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,90,60,70,45
365,walrein,ice,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,110,80,90,65
366,clamperl,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,35,64,85,32
367,huntail,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,55,104,105,52
368,gorebyss,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,55,84,105,52
369,relicanth,water,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,100,90,130,55
370,luvdisc,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,43,30,55,97
371,bagon,dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,45,75,60,50
372,shelgon,dragon,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,65,95,100,50
373,salamence,dragon,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,95,135,80,100
374,beldum,steel,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,40,55,80,30
375,metang,steel,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/375.png,60,75,100,50
376,metagross,steel,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/376.png,80,135,130,70
377,regirock,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/377.png,80,100,200,50
378,regice,ice,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/378.png,80,50,100,50
379,registeel,steel,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/379.png,80,75,150,50
380,latias,dragon,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/380.png,80,80,90,110
381,latios,dragon,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/381.png,80,90,80,110
382,kyogre,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/382.png,100,100,90,90
383,groudon,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/383.png,100,150,140,90
384,rayquaza,dragon,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/384.png,105,150,90,95
385,jirachi,steel,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/385.png,100,100,100,100
386,deoxys-normal,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/386.png,50,150,50,150
387,turtwig,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/387.png,55,68,64,31
388,grotle,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/388.png,75,89,85,36
389,torterra,grass,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/389.png,95,109,105,56
390,chimchar,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/390.png,44,58,44,61
391,monferno,fire,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/391.png,64,78,52,81
392,infernape,fire,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/392.png,76,104,71,108
393,piplup,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/393.png,53,51,53,40
394,prinplup,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/394.png,64,66,68,50
395,empoleon,water,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/395.png,84,86,88,60
396,starly,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/396.png,40,55,30,60
397,staravia,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/397.png,55,75,50,80
398,staraptor,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/398.png,85,120,70,100
399,bidoof,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png,59,45,40,31
400,bibarel,normal,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png,79,85,60,71
401,kricketot,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/401.png,37,25,41,25
402,kricketune,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/402.png,77,85,51,65
403,shinx,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/403.png,45,65,34,45
404,luxio,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/404.png,60,85,49,60
405,luxray,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/405.png,80,120,79,70
406,budew,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png,40,30,35,55
407,roserade,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/407.png,60,70,65,90
408,cranidos,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/408.png,67,125,40,58
409,rampardos,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/409.png,97,165,60,58
410,shieldon,rock,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/410.png,30,42,118,30
411,bastiodon,rock,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png,60,52,168,30
412,burmy,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png,40,29,45,36
413,wormadam-plant,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/413.png,60,59,85,36
414,mothim,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/414.png,70,94,50,66
415,combee,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/415.png,30,30,42,70
416,vespiquen,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/416.png,70,80,102,40
417,pachirisu,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/417.png,60,45,70,95
418,buizel,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png,55,65,35,85
419,floatzel,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/419.png,85,105,55,115
420,cherubi,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/420.png,45,35,45,35
421,cherrim,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/421.png,70,60,70,85
422,shellos,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/422.png,76,48,48,34
423,gastrodon,water,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/423.png,111,83,68,39
424,ambipom,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png,75,100,66,115
425,drifloon,ghost,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/425.png,90,50,34,70
426,drifblim,ghost,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/426.png,150,80,44,80
427,buneary,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png,55,66,44,85
428,lopunny,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/428.png,65,76,84,105
429,mismagius,ghost,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/429.png,60,60,60,105
430,honchkrow,dark,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/430.png,100,125,52,71
431,glameow,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/431.png,49,55,42,85
432,purugly,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/432.png,71,82,64,112
433,chingling,psychic,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/433.png,45,30,50,45
434,stunky,poison,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/434.png,63,63,47,74
435,skuntank,poison,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/435.png,103,93,67,84
436,bronzor,steel,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png,57,24,86,23
437,bronzong,steel,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png,67,89,116,33
438,bonsly,rock,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png,50,80,95,10
439,mime-jr,psychic,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/439.png,20,25,45,60
440,happiny,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/440.png,100,5,5,30
441,chatot,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/441.png,76,65,45,91
442,spiritomb,ghost,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/442.png,50,92,108,35
443,gible,dragon,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/443.png,58,70,45,42
444,gabite,dragon,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/444.png,68,90,65,82
445,garchomp,dragon,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/445.png,108,130,95,102
446,munchlax,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/446.png,135,85,40,5
447,riolu,fighting,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/447.png,40,70,40,60
448,lucario,fighting,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/448.png,70,110,70,90
449,hippopotas,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/449.png,68,72,78,32
450,hippowdon,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/450.png,108,112,118,47
451,skorupi,poison,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/451.png,40,50,90,65
452,drapion,poison,dark,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/452.png,70,90,110,95
453,croagunk,poison,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/453.png,48,61,40,50
454,toxicroak,poison,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/454.png,83,106,65,85
455,carnivine,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/455.png,74,100,72,46
456,finneon,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/456.png,49,49,56,66
457,lumineon,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/457.png,69,69,76,91
458,mantyke,water,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/458.png,45,20,50,50
459,snover,grass,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/459.png,60,62,50,40
460,abomasnow,grass,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/460.png,90,92,75,60
461,weavile,dark,ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/461.png,70,120,65,125
462,magnezone,electric,steel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/462.png,70,70,115,60
463,lickilicky,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/463.png,110,85,95,50
464,rhyperior,ground,rock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/464.png,115,140,130,40
465,tangrowth,grass,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/465.png,100,100,125,50
466,electivire,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/466.png,75,123,67,95
467,magmortar,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/467.png,75,95,67,83
